City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,jatai,-17.8814,-51.7144,21.37,86,97,1.38,BR,2023-02-01 23:31:20
157,zhezkazgan,47.8043,67.7144,-12.6,91,90,5.0,KZ,2023-02-01 23:31:20
158,mount gambier,-37.8333,140.7667,13.83,78,99,7.14,AU,2023-02-01 23:29:04
159,sharan,54.8167,54.0,-12.79,86,90,1.56,RU,2023-02-01 23:31:21
160,renfrew,55.872,-4.3925,9.75,85,100,6.17,GB,2023-02-01 23:30:20
161,jieshi,22.8134,115.8257,18.11,82,14,7.77,CN,2023-02-01 23:31:22
162,watsa,3.0372,29.5355,19.52,58,15,0.67,CD,2023-02-01 23:31:23
163,biloela,-24.4167,150.5,30.99,55,71,3.23,AU,2023-02-01 23:31:23
164,bonfim,3.0833,-59.95,29.64,48,77,2.6,BR,2023-02-01 23:24:04
165,fortuna,40.5982,-124.1573,16.63,49,0,0.0,US,2023-02-01 23:24:03
166,laguna,38.421,-121.4238,15.1,48,0,2.06,US,2023-02-01 23:31:24
167,jiaojiang,28.6803,121.4428,8.33,73,100,4.72,CN,2023-02-01 23:31:25
168,chekhov,55.1431,37.4711,-1.03,92,100,3.58,RU,2023-02-01 23:31:25
169,mehamn,71.0357,27.8492,-0.05,68,100,4.7,NO,2023-02-01 23:31:26
170,hohhot,40.8106,111.6522,-14.84,51,0,3.0,CN,2023-02-01 23:31:26
171,mozarlandia,-14.7447,-50.5706,24.1,83,75,1.1,BR,2023-02-01 23:31:27
172,camacha,33.0833,-16.3333,15.68,59,20,5.66,PT,2023-02-01 23:31:28
173,ilulissat,69.2167,-51.1,-8.99,57,75,9.77,GL,2023-02-01 23:22:58
174,cortez,37.3489,-108.5859,1.13,51,0,1.54,US,2023-02-01 23:23:21
175,heihe,50.2441,127.4902,-18.68,80,6,3.78,CN,2023-02-01 23:31:29
176,nouadhibou,20.931,-17.0347,16.99,63,100,7.72,MR,2023-02-01 23:26:11
177,meulaboh,4.1363,96.1285,24.22,84,99,2.05,ID,2023-02-01 23:31:30
178,naze,28.3667,129.4833,15.51,83,94,6.15,JP,2023-02-01 23:31:30
179,opuwo,-18.0607,13.84,20.1,49,100,1.62,NA,2023-02-01 23:31:31
180,nola,40.922,14.5329,11.92,78,76,0.95,IT,2023-02-01 23:31:31
181,quelimane,-17.8786,36.8883,25.97,83,20,0.0,MZ,2023-02-01 23:31:32
182,sioux lookout,50.1001,-91.917,-18.96,71,20,2.57,CA,2023-02-01 23:31:32
183,zatoka,46.0725,30.4654,1.44,79,46,3.42,UA,2023-02-01 23:31:33
184,komsomolskiy,40.4272,71.7189,-0.6,80,100,2.06,UZ,2023-02-01 23:24:44
185,san cristobal,7.7669,-72.225,22.1,73,13,1.4,VE,2023-02-01 23:22:50
186,leningradskiy,69.3833,178.4167,-22.7,99,85,2.79,RU,2023-02-01 23:26:05
187,geraldton,-28.7667,114.6,29.23,37,0,5.66,AU,2023-02-01 23:24:44
188,tarakan,3.3,117.6333,23.72,100,40,1.03,ID,2023-02-01 23:28:08
189,narsaq,60.9167,-46.05,-6.88,93,100,1.66,GL,2023-02-01 23:31:35
190,ca mau,9.1769,105.15,24.85,82,100,2.1,VN,2023-02-01 23:31:35
191,salinopolis,-0.6136,-47.3561,24.21,88,100,1.21,BR,2023-02-01 23:31:27
192,quang ngai,15.1167,108.8,22.16,88,79,0.89,VN,2023-02-01 23:31:36
193,erenhot,43.6475,111.9767,-13.05,41,25,3.15,CN,2023-02-01 23:23:57
194,fare,-16.7,-151.0167,27.84,72,60,8.71,PF,2023-02-01 23:31:36
195,bom jesus,-9.0744,-44.3586,26.67,55,100,0.49,BR,2023-02-01 23:31:37
196,menongue,-14.6585,17.691,17.1,95,100,0.89,AO,2023-02-01 23:31:38
197,neuquen,-38.9516,-68.0591,28.94,42,20,1.03,AR,2023-02-01 23:31:38
198,chambas,22.1928,-78.9136,23.32,75,19,4.14,CU,2023-02-01 23:31:39
199,arraial do cabo,-22.9661,-42.0278,24.25,90,82,6.2,BR,2023-02-01 23:31:39
200,necochea,-38.5473,-58.7368,19.09,75,95,6.01,AR,2023-02-01 23:29:16
201,pangai,-19.8,-174.35,29.06,79,75,4.63,TO,2023-02-01 23:31:40
202,san quintin,30.4833,-115.95,14.59,52,1,2.17,MX,2023-02-01 23:31:41
203,zhigansk,66.7697,123.3711,-32.42,97,100,7.23,RU,2023-02-01 23:26:08
204,east london,-33.0153,27.9116,21.61,82,14,6.9,ZA,2023-02-01 23:31:41
205,victoria,22.2855,114.1577,20.14,85,5,0.89,HK,2023-02-01 23:30:55
206,tura,25.5198,90.2201,12.2,50,3,1.67,IN,2023-02-01 23:26:04
207,guerrero negro,27.9769,-114.0611,15.56,49,0,5.3,MX,2023-02-01 23:31:42
208,marondera,-18.1853,31.5519,14.75,96,26,1.93,ZW,2023-02-01 23:31:43
209,auki,-8.7676,160.7034,28.68,74,99,1.96,SB,2023-02-01 23:24:04
210,kamaishi,39.2667,141.8833,0.04,58,4,5.97,JP,2023-02-01 23:31:44
211,dingle,10.9995,122.6711,23.83,95,68,3.63,PH,2023-02-01 23:26:34
212,iqaluit,63.7506,-68.5145,-30.15,55,75,2.57,CA,2023-02-01 23:22:02
213,zlobin,45.2924,14.6541,1.99,84,20,1.54,HR,2023-02-01 23:31:45
214,severo-kurilsk,50.6789,156.125,-5.57,70,76,2.41,RU,2023-02-01 23:26:54
215,poum,-20.2333,164.0167,26.59,63,100,2.42,NC,2023-02-01 23:23:15
216,vila velha,-20.3297,-40.2925,26.08,85,0,6.17,BR,2023-02-01 23:31:46
217,hull,53.7446,-0.3353,9.42,50,75,6.69,GB,2023-02-01 23:31:46
218,mahebourg,-20.4081,57.7,25.16,88,40,1.54,MU,2023-02-01 23:31:47
219,oum hadjer,13.2954,19.6966,24.15,20,85,5.87,TD,2023-02-01 23:22:47
220,machali,-34.1833,-70.6667,29.6,30,0,4.63,CL,2023-02-01 23:22:42
221,yar-sale,66.8333,70.8333,-11.79,95,72,4.95,RU,2023-02-01 23:31:48
222,helena,46.5927,-112.0361,3.98,61,100,2.24,US,2023-02-01 23:30:10
223,vila praia de ancora,41.811,-8.8526,9.5,74,3,2.37,PT,2023-02-01 23:31:49
224,iringa,-7.7667,35.7,17.62,82,40,0.0,TZ,2023-02-01 23:31:49
225,sergeyevka,53.88,67.4158,-21.47,99,29,0.89,KZ,2023-02-01 23:31:50
226,tiksi,71.6872,128.8694,-27.2,98,99,4.02,RU,2023-02-01 23:31:50
227,zinder,13.8072,8.9881,19.6,17,75,4.73,NE,2023-02-01 23:31:51
228,promyshlennyy,67.5833,63.9167,-7.1,94,99,6.03,RU,2023-02-01 23:31:51
229,ajdabiya,30.7554,20.2263,13.95,63,89,2.73,LY,2023-02-01 23:31:52
230,pisco,-13.7,-76.2167,24.03,83,0,9.26,PE,2023-02-01 23:26:23
231,hervey bay,-25.2986,152.8535,27.24,81,49,1.36,AU,2023-02-01 23:24:26
232,najran,17.4924,44.1277,18.36,34,38,0.83,SA,2023-02-01 23:23:53
233,ginda,30.6945,78.4932,6.06,22,61,3.95,IN,2023-02-01 23:31:53
234,bubaque,11.2833,-15.8333,25.33,70,7,6.02,GW,2023-02-01 23:26:30
235,bengkulu,-3.8004,102.2655,23.62,89,100,2.19,ID,2023-02-01 23:23:19
236,aykhal,66.0,111.5,-31.39,100,99,1.73,RU,2023-02-01 23:28:56
237,ponta do sol,32.6667,-17.1,17.35,64,73,4.56,PT,2023-02-01 23:31:47
238,grand gaube,-20.0064,57.6608,25.22,83,9,1.34,MU,2023-02-01 23:31:55
239,chimbote,-9.0853,-78.5783,21.85,79,28,2.57,PE,2023-02-01 23:31:56
240,padang,-0.9492,100.3543,23.03,87,100,1.55,ID,2023-02-01 23:24:45
241,lakatoro,-16.0999,167.4164,29.18,70,50,1.23,VU,2023-02-01 23:23:43
242,cam ranh,11.9214,109.1591,22.98,88,75,1.54,VN,2023-02-01 23:26:59
243,karasjok,69.4719,25.5112,-10.6,94,100,2.96,NO,2023-02-01 23:31:57
244,argelia,2.2556,-77.2488,18.56,97,87,1.37,CO,2023-02-01 23:31:58
245,porbandar,21.6422,69.6093,18.26,37,72,5.66,IN,2023-02-01 23:31:58
246,atar,20.5169,-13.0499,21.01,11,100,1.84,MR,2023-02-01 23:28:00
247,vardo,70.3705,31.1107,-0.01,55,100,9.77,NO,2023-02-01 23:24:21
248,chibombo,-14.6569,28.0706,17.41,97,89,1.65,ZM,2023-02-01 23:31:59
249,yulara,-25.2406,130.9889,25.77,35,0,4.87,AU,2023-02-01 23:32:00
250,lusambo,-4.9667,23.45,19.78,98,60,0.4,CD,2023-02-01 23:32:00
251,coquimbo,-29.9533,-71.3436,19.85,72,0,5.66,CL,2023-02-01 23:23:16
